user,location,tweet,timeStamp
@CarolineKole,"Nashville, TN",currently #ChristmasBreak #noshamepic.twitter.com/MTy7mTeoHD,12:50 PM - 22 Dec 2016
@claire_davis2,,Got my parents thinking I'm depressed bc all I do is sleep and eat :-) #christmasbreak,10:10 AM - 22 Dec 2016
@awagner473,"Florida, USA",I just woke up and I couldn't be more satisfied #christmasbreak,9:35 AM - 22 Dec 2016
@JustinSCooper,"Santa Clara, CA","It's about to get serious here in the @ClaysMillBapt gym... Pray for those of us who are ""old men"" attempting to play! #ChristmasBreakpic.twitter.com/9f2vK6poTB",7:20 AM - 22 Dec 2016
@Beliebergiirl99,Hungary-Austria,First day of Christmas Break feels like...  @justinbieber #winterbreak #ChristmasBreak #Christmas pic.twitter.com/mYABHJv4VH,11:10 PM - 21 Dec 2016
@CariHamblin,,Festival of Lights with @DrJohnNHamblin #ChristmasBreak #familypic.twitter.com/sxjf3z1o37,6:53 PM - 21 Dec 2016
@Jillers86,"Ontario, Canada",My haircut!! Excuse my tired teacher eyes. #2moredays #ChristmasBreakpic.twitter.com/Syb3FzVsrq,4:38 PM - 21 Dec 2016
@asyouwish97,,Barely stopped @starvingmysin from eating bath fizzies today #ChristmasBreak,1:54 PM - 21 Dec 2016
@amanda_b_10,,Those C's on my grades right now actually stand for Christmas #ChristmasBreak,11:17 AM - 21 Dec 2016
@eyewitnessUSA1,"Los Angeles, CA",Nothing to do during #ChristmasBreak? Binge the ENTIRE 1st season of #Eyewitness on @USA_Network  #Philkas http://www.usanetwork.com/eyewitness/videos …,9:00 AM - 21 Dec 2016
@Trey_Sawyer28,"North Carolina, USA",When you're finally out for Christmas break  #ChristmasBreak #Finals #DemHitz @Shelovesmeechiepic.twitter.com/zjDJLbWRHm,6:43 AM - 21 Dec 2016
@KaitlynMariee96,"Minneapolis, MN","Last night, @CamilleSpringer, @RainaWatson, and I got drunk and played tag in our house by ourselves. #ChristmasBreak",12:20 PM - 20 Dec 2016
@CycloneGG,Global,What games will you guys be bingeing over the #ChristmasBreak ?pic.twitter.com/RdFKxQhivC,12:20 PM - 20 Dec 2016
@zimmerlimuseum,"New Brunswick, NJ","Giving New Meaning to #ChristmasBreak (by #RogerDuvoisin 20th-c) https://www.instagram.com/zimmerliartmuseum/ …
belated #MewseumMonday #CatsHelping @CuratorialCatspic.twitter.com/lIQ9i0muO5",10:47 AM - 20 Dec 2016
@HollisterCassie,Happy,"Who, me? Oh ya. I'm just sitting here eating crackers and watching south park. #ChristmasBreak",10:39 PM - 19 Dec 2016
@AaronFrana,"Phoenix, AZ",Hiking Camelback Mountain to start the morning! #christmasbreakpic.twitter.com/PBocm92ImN,10:12 AM - 19 Dec 2016
@EdenMarketiers,Stratford-upon-Avon,Still looking for a Christmas break? Stay at @ArdenhouseEHC for a 'Cosy Christmas'...http://bit.ly/2hiCNdc  #Christmasbreak #Christmaspic.twitter.com/MvaaJoCZr4,5:46 AM - 19 Dec 2016
@jvanhouten94,,I haven't stopped eating since I got home.. #christmasbreak #endlesssnacks,7:23 PM - 18 Dec 2016
@AnthDougherty,"Wellington, FL",That smile.  My beautiful little girl knows that we are all on vacation in a few short days. #ChristmasBreakpic.twitter.com/J2tldvD7Vh,4:37 PM - 18 Dec 2016
@joeyputnam13,,Gotten so used to studying the last four months it feels weird not having to do schoolwork #Christmasbreak #thankful,11:39 AM - 18 Dec 2016
@mariahbasinger,,Still having anxiety that I have an assignment that I forgot to do or that is due #christmasbreak,9:10 AM - 18 Dec 2016
@tomhilde,Lillehammer,Small steps every day! #sport2000 #lo #christmasbreak #jacuzzi fisskijumping https://www.instagram.com/p/BOKj9aggjTK/ ,8:22 AM - 18 Dec 2016
@CariHamblin,,WOW!! Look who I get to sit next to this AM in church! @DrJohnNHamblin #christmasBreak #onceAyearOccasionpic.twitter.com/hMDRoRxD6Z,8:20 AM - 18 Dec 2016
@agar_john,"Rockford, MI",Over the river and through the woods to Grandma's house we go! #ChristmasBreak @AnnieAgarpic.twitter.com/eiDdJm9Y6u,7:31 AM - 18 Dec 2016
@EchoBeat21,"North Carolina, USA",#ChristmasBreak can't officially begin for teachers until that one student leaves like. #DeanAmbrosepic.twitter.com/KIBgecH84Q,7:02 AM - 18 Dec 2016
@kellylynnjanson,,Headed home. #ChristmasBreakpic.twitter.com/PrYPJyuseB,3:07 AM - 18 Dec 2016
@wildcatshopcwu,"Ellensburg, WA","If you Wildcats left town for Christmas break, this is what you are missing.  #CWU #freezing #wildcats #christmasbreakpic.twitter.com/uaMdFtME2e",10:11 PM - 17 Dec 2016
@rocketlionuk,"London, England",THESE COOKIES THOUGH  #reindeer #christmascookies #christmas2016 #christmasgift #Christmas #christmasbreak http://HugoSophia.com  pic.twitter.com/i1WArg8LQ8,7:24 AM - 17 Dec 2016
@ABC13Elita,"Houston, TX",Last day of school for my little guy! #christmasbreak #holidayparty #gingerbreadbuddies #ilovetheholidays #9daysuntilchristmaspic.twitter.com/5xwSWiuBL0,4:06 PM - 16 Dec 2016
@shansoup,"Houston-ish, TX",Last day of school in 2016! Home now relaxing - @hallmarkchannel on and about to #crochet!! LOVE #ChristmasBreak ,1:13 PM - 16 Dec 2016
@EbethGraber,"Newton, KS",The natives are restless #ChristmasBreak @acole11111 @KenzieMoran15 @brock_horningpic.twitter.com/ptKmxrwAWD,10:31 AM - 16 Dec 2016
@wendilynnmakeup,"Hollywood, United States",Last Day @AgentsofSHIELD #ChristmasBreak pic.twitter.com/1u2nJPgUVH,5:57 AM - 16 Dec 2016
@Prettyclipsgb,"England, United Kingdom",Etsy Store Is Now Closed Reopens On The 8th Of January... #Etsy #smallbiz #gifts #Christmas #handmade #ChristmasBreakpic.twitter.com/vq0VZk7Ahy,10:34 PM - 15 Dec 2016
@_hallehutton,"Ohio, USA",Next Tuesday at 2:20 I will be the happiest I have ever been. #ChristmasBreak ,6:17 AM - 15 Dec 2016
@galileahndz,,Friends and family from other states are getting here this week & it just makes me even more excited for mex!  #christmasbreak#ahhh,3:56 PM - 12 Dec 2016
@alliegator05,,"I did nothing today, and it was amazing #christmasbreak",3:04 PM - 12 Dec 2016
@TheAshtonMelton,Den10 🦅,Thanking god today was my last day of school #ChristmasBreak,1:14 PM - 12 Dec 2016
@cteewin,"Houston, TX",Honestly I just wanna get these finals over w so we can be done #christmasbreak #pls,11:23 AM - 12 Dec 2016
@DomAbate8,,I feel like I should be doing something right now. Like stressing over a paper or assignment. This is nice #christmasbreak,6:50 AM - 12 Dec 2016
@willhatcher00,"Duplin County, NC",if only I can get through this week #ChristmasBreak,4:52 AM - 12 Dec 2016
@sclaire_97,,"When it's Sunday night and you realize nothing is due tomorrow, the next day, or for the next month #christmasbreakpic.twitter.com/djVuJZ48Ix",5:49 PM - 11 Dec 2016
@taylormdierks,,Already ready for this week to be over #christmasbreak,2:43 PM - 11 Dec 2016
@ryanfry79,"Toronto, Ontario",Thanks @CitySSM and @grandslamcurl for a great event - couldn't be prouder to raise a trophy with these guys #christmasbreakpic.twitter.com/UCVNsAH8GV,12:34 PM - 11 Dec 2016
@_BriggsBenson,229 ➡️Atlanta,I'm in bed at 11 on a Saturday night #College #ChristmasBreak #Lit,8:14 PM - 10 Dec 2016
@JeremyWag,"Oklahoma City, Oklahoma",No better way to start your day than waking up on your own time instead of by an alarm. #ChristmasBreak,7:13 AM - 10 Dec 2016
@ChooseHSUTX,"Abilene, Texas",Current Cowboys: Finals are over! Drive safe and from all of us at HSU have a great Christmas! #ChristmasBreak,10:31 AM - 8 Dec 2016
@Mark_Hood33,"Little Rock, AR",Last final had me like @ucabears #ChristmasBreakpic.twitter.com/uE05Y77IQt,10:08 AM - 8 Dec 2016
@daniscottluge,Widnes & Bath,"Training complete, finished w a PB  Next World Cup is 4th Jan @lugeGB #luge #tasstalentshines #christmasbreakpic.twitter.com/xU1Klc27IY",3:38 AM - 7 Dec 2016
@SpottedLaurier,"Waterloo, ON","So close, but yet still SO very far #christmasbreak",7:16 AM - 6 Dec 2016
@Verdeliss_,,Sweet diciembre  #HomeAway #ChristmasBreak #Christmas2016 homeawayes https://www.instagram.com/p/BNq3qGshKg4/ ,12:58 AM - 6 Dec 2016
@EauPleineVintge,Wisconsin,On your #Christmasbreak use this #Leafdish for your #holidayseason #Foodporn &  enjoy the #Fun https://www.etsy.com/listing/272430298/monkey-pod-wood-dark-color-leaf-shaped?ref=shop_home_active_6 … #alexpals #giftforherpic.twitter.com/YBWmRFzh9Y,5:25 PM - 30 Nov 2016
@CoreyLJ3,Tennessee,"""Surely I can survive another 2 weeks until break"" is a daily thought now #christmasbreak #wya",6:00 PM - 28 Nov 2016
@holcsladies1s,,Finished the 1st half of our season yesterday in a solid 3rd position! Some ups and downs but plenty of learning #christmasbreakpic.twitter.com/DMYEXVottG,5:30 AM - 27 Nov 2016
@TheAnastasiaLee,"Green Bay, WI",Only 12 days of school left this semester... #TooBad #College #SadTeenagers #ChristmasBreak #WinterBreak,10:05 PM - 20 Nov 2016
@danigottsleben,"Watertown, SD","Ixtapa, Mexico... the Gottsleben's are coming for ya.  #ChristmasBreak @NickGottsleben2pic.twitter.com/fVxrLM9P46",2:47 PM - 18 Nov 2016
@bbydero,"Spokane, WA",Counting down the days til I see my bff !!  #christmasbreak #comefaster @Ak_growinpic.twitter.com/XV6eAbJ4YE,7:20 PM - 10 Nov 2016
@beccahuhtalaa,upper west side,soooo...... who wants to go sledding ??!!!!!!??? #christmasbreak #winter #litmas #firstsnowfall #snowday #wisconsin,8:10 PM - 23 Mar 2016
@musicmajorprob,,Oh yeah practicing #ChristmasBreak #BackToTheGrind,7:35 PM - 16 Jan 2016
@abkemmerer,wi/mn,In just 3 weeks my snapchat friends went from studying scholars to moderate alcoholics #ChristmasBreak,10:19 AM - 7 Jan 2016
@eumayors,Brussels,"Covenant #cities worked hard during #Christmasbreak: We reached +5,000 #Energy & #ClimateAction Plans submitted! http://www.covenantofmayors.eu/actions/sustainable-energy-action-plans_en.html …",7:58 AM - 7 Jan 2016
@BryonCaldwell,"Dallas, TX",This is me today trying to get back into #workmode after the holiday break   #ChristmasBreak #sleepy #animationpic.twitter.com/Y4X6g3iADq,9:59 AM - 4 Jan 2016
@carolynzorzi,"Melbourne, Victoria",Everyone else is #backtowork today and us @MohawkCollege students still have one more week! #woohoo #christmasbreakpic.twitter.com/ocpzvwG5JL,4:47 AM - 4 Jan 2016
@Jennayy_5,"Orange City, IA",Today I've spent 5 and 1/2 hours watching gossip girl and I don't regret one minute of it.... #christmasbreak,8:43 PM - 1 Jan 2016
@catythelady_,"Springfield, MO",First there's a hurricane and then there's a plane crash on our school property lol #ChristmasBreak,9:07 PM - 30 Dec 2015
@BUrlacher54,"Chicago, IL",Snow day!! #tubing #cascademountain #christmasbreak  #2015pic.twitter.com/T1SdXPvkyk,2:58 PM - 30 Dec 2015
@Blond_Teacher,,"I can't even remember what I was teaching before #ChristmasBreak, so not sure what my expectation should be of the kids. #teacherproblems",2:08 PM - 30 Dec 2015
@jdhunter04,"Osage Beach, Missouri",Loving vacation @GoDomRep    Hate to leave this place. #bavaroPRINCESS #dominicanrepublic #christmasbreakpic.twitter.com/hD4yoTfAw1,12:10 PM - 30 Dec 2015
@_rachelcoates,,I put on makeup and jeans today and I might actually leave my house....already a step above yesterday. #christmasbreak,8:43 AM - 30 Dec 2015
@hubbs31,,"@EdmontonOilers London, ON The boys are ready to stay up late for the win!! #oilersrollcall #makeit8 #christmasbreakpic.twitter.com/cZRNDW0B2b",5:54 PM - 29 Dec 2015
@ScribSports,"Grand Blanc, Michigan","Great to see the kids play a Hall of Fame All Star Game with @StratOMatic baseball!
#ChristmasBreak
#RaiseThemRightpic.twitter.com/HBvVVgO3Mi",1:57 PM - 29 Dec 2015
@chriscauley,Atlanta,What day is it?  What time is it?  What year are we in again?  What am I even doing with my life this week?  #ChristmasBreak,9:52 PM - 28 Dec 2015
@MILLERBOATLINE,"GPS: 5174 East Water St., Port Clinton, OH  43452","Between the holidays, Put-in-Bay sleeps. Pic via Peter Huston @filmaffects. #christmasbreakpic.twitter.com/wgDsyP7vx6",2:38 PM - 28 Dec 2015
@ayodoug,"Los Angeles, CA",My school bag has been in the same place for the past week lol #ChristmasBreak,11:23 PM - 27 Dec 2015
@Kodea15,,Black ops and Basketball #ChristmasBreak,5:49 PM - 27 Dec 2015
@cmbrookins,"Little Rock, Arkansas",Uh oh. I think I just inspired another home decor project. #notagain @cmbrookins @Lowespic.twitter.com/krd7iIHHSp,12:41 PM - 26 Dec 2015
@RachelMReames,"Dallas, TX",New Avi bc I wore something other than sweats for the first time in a week!!! #christmasbreak #amirightpic.twitter.com/McKF2m0Gi5,8:44 AM - 26 Dec 2015
@Aaronsweather,"Bakersfield, CA",Flew into Phoenix with a Bakersfield celebrity @LWashingtonKGET @AmericanAir #Christmasbreak #MerryChristmas #pic.twitter.com/x6VhFAPmkP,12:03 PM - 25 Dec 2015
@Dance12Neptune,"North Hollywood, Los Angeles",Ate good with the fam bam yesterday!! #familyman #Texas #christmasbreak #teamneptune https://www.instagram.com/p/_uIZ2KBGJb/ ,8:03 AM - 25 Dec 2015
@DanceCompDad,,Hey... With all that hard work you've put in so far... You deserve to REALLY relax today... #ChristmasBreak #day4pic.twitter.com/qClKrK0lVn,5:54 AM - 24 Dec 2015
@ASLANTHEVALIANT,"Grand Rapids, MI",Christmas break update: It's 1 a.m. and I am currently watching a documentary on dinosaurs. That is all. #christmasbreak #blessup,10:10 PM - 23 Dec 2015
@fullerchandler8,"Har-Ber, Arkansas","""Just one more episode."" #ChristmasBreak",9:24 PM - 23 Dec 2015
@YLMSportScience,"Nice, France",#ChristmasBreak | 8 Tips to Alleviate the Changes due to Reduced Training | http://ylmsportscience.blogspot.com/2015/11/soccer-transition-period-8-tips-to.html …pic.twitter.com/M8w8sE6tWT,5:30 PM - 23 Dec 2015
@ChristineDobbyn,"Houston, Texas",Many families watching #whale nercropsy @GalvestonCom #ChristmasBreak @abc13houston @IlonaOnTV @ErikOnTV #HouNewspic.twitter.com/xOBhp9YA3l,12:24 PM - 23 Dec 2015
@Ckilby20,"Holly Springs, NC",Feels great to be home. #ChristmasBreak,10:36 AM - 23 Dec 2015
@mccartyann,"Dublin, OH",@francis_scruci Enjoying a super productive day and enjoying not traveling! #happytobeinBG #ChristmasBreak,10:10 AM - 23 Dec 2015
@MusicByTanner,"Choctaw, OK",Hanging out with the dogs #christmasbreak https://www.instagram.com/p/_pIrU3I_OL/ ,9:29 AM - 23 Dec 2015
@gabbysergent00,,Just woke up.... I'm going to enjoy this way to much. #ChristmasBreak,7:51 AM - 23 Dec 2015
@JennaDoherty5,Earth,Day 5 of sitting on my ass at home #ChristmasBreak,7:37 AM - 23 Dec 2015
@AlainDehaze,"Zurich, Suisse","I wish you & your families a Merry Christmas, the best for 2016, hapiness & good health #ChristmasBreak @AdeccoGrouppic.twitter.com/WfYfZFYK4U",3:52 AM - 23 Dec 2015
@GeekyEnthusiast,Midwest,Beers and gaming tonight. Good thing I'm only at work for three hours tomorrow. #christmasbreak,8:41 PM - 22 Dec 2015
@KB08_,The Gym,Fun last day of training!!!  Not seeing my babies for two days... #ChristmasBreak ,7:47 PM - 22 Dec 2015
@Maliaaovo,"Naples, FL",I haven't worn a bra in like three days #christmasbreak,7:01 PM - 22 Dec 2015
@MeganLuVCS,"DeLand, FL",Pictures with Santa and fun with the fam! #ChristmasBreak @MrLuVCS @lmlucero1 @rgilreath89pic.twitter.com/7oWGhX6gxe,9:54 AM - 22 Dec 2015
@meggiejenny,Missouri,My kids on Christmas Break... #ChristmasBreak #MerryChristmaspic.twitter.com/Dimb73gxaV,8:19 AM - 22 Dec 2015
@YLMSportScience,"Nice, France","#ChristmasBreak
 Reduce training volume drastically
 Maintain high-intensity bursts
http://ylmsportscience.blogspot.com/2015/06/high-intensity-interval-training-every.html …pic.twitter.com/rBuy6TIcOQ",12:44 PM - 21 Dec 2015
@TerriClarkMusic,"Nashville, TN","When you sleep 8-10 hours and say "" how can I still be tired ? "" ...at 1pm in the afternoon.   #Christmasbreak #downtime",10:49 AM - 21 Dec 2015
@Malc_and_Dave,"Devon, England",I haven't told him yet but we have to drive for 5.5 hours tomorrow!! Have a good run today Dave! #Christmasbreakpic.twitter.com/vxd1zEZo1R,6:58 AM - 21 Dec 2015
@WrightGreg82,"Kansas City, MO",Waking up and not having a single responsibility is undoubtedly the best feeling ever #ChristmasBreak,6:54 AM - 21 Dec 2015
@Miller_BMS,,"Happy break! Have a goooood one; see you guys Jan 6th. #christmasbreak 

Psych. See you in class today.",5:00 AM - 21 Dec 2015
@FrickSlim,,We get serious about shinny. #ChristmasBreak #Shinnypic.twitter.com/L57G3i5LY5,12:05 AM - 21 Dec 2015
@KwakuBoat3ng,,When bae makes you feel special #ChristmasBreak pic.twitter.com/IPbTpHjANH,7:25 PM - 20 Dec 2015
@itsnotkv,"Nova Scotia, Canada - Ottawa",Bed at 10 o'clock :) #christmasbreak #fun #blessed #sociallife,5:57 PM - 20 Dec 2015
@Blond_Teacher,,"On the second day off, my #ChristmasBreak gave to me...two cups of coffee...and in my bed.  #teachersolutions",6:29 AM - 20 Dec 2015
@AnnieRatner,Earth,I started Fallout 4 tonight  #ChristmasBreak,12:11 AM - 20 Dec 2015
@JenniferKohorst,Mount Pleasant IA,"There may be nothing better than turning off your alarm for the next 14 days.  Seriously.  Smiling. 
#ChristmasBreak",10:42 PM - 19 Dec 2015
@loganstanley_17,,See you soon Waterloo  #ChristmasBreak,8:57 PM - 19 Dec 2015
@welcomemattv,,Back on the East Coast and almost home! #ChristmasBreak #TheMuppets,6:49 PM - 19 Dec 2015
@FloppyWhaleFin,"Pensacola, FL",I drank an entire half gallon of milk on my drive back home & threw up on the side of the road #christmasbreak #gostate,4:42 PM - 19 Dec 2015
@ChasteenAndrew,,"Break has been fun so far.. 
#Christmasbreakpic.twitter.com/lIL6hSQrBr",1:27 PM - 19 Dec 2015
@SchweitzerID,"10000 Schweitzer Mountain Rd Sandpoint, Idaho 83864","#Christmasbreak starts today - let the fun begin! Join us for #powder off the T-Bar, #free #nightskiing & #livemusicpic.twitter.com/PsuicBwBhG",8:48 AM - 19 Dec 2015
@bhstornadoes,"Panama City, Florida",RT if you're excited that school is finally out for #christmasbreakpic.twitter.com/Cy50u5la8p,8:32 AM - 19 Dec 2015
@rodneygriffin,"Mount Vernon, KY",Already looking forward to taking my family to church tomorrow.  Hope you will too.  #Christmasbreak,4:42 AM - 19 Dec 2015
@jbracco97,,Shipping back to the 516 for break can't wait to see everyone at home #ChristmasBreak #TisTheSeason,4:03 AM - 19 Dec 2015
@DLittlejohn31,Indiana State University,Walked in the living room and mom was rapping hotline bling to my dad.. #christmasbreak,4:43 PM - 18 Dec 2015
@LilyRugar,,finally i can get some of my storage back #christmasbreakpic.twitter.com/e6uB5NJVQo,3:39 PM - 18 Dec 2015
@MrCoach85,Braves & Falcons Country,Because it's Christmas Break! #ChristmasBreak #DABpic.twitter.com/Zl0jlPeh9B,2:54 PM - 18 Dec 2015
@NorbertDog,"Los Angeles, CA",I may or may not have opened a present early. #ChristmasBreakpic.twitter.com/priVOlus8A,1:31 PM - 18 Dec 2015
@YorkParamedics,York Region,Wishing all school kids a wonderful last day before your #ChristmasBreak. Use those crosswalks and keep your holiday safe @YRDSB @ycdsb,11:12 AM - 18 Dec 2015
@BayTech2,,Lighting Up Launchpad teacher winner from St. Andrews @ClassLink #Christmasbreakpic.twitter.com/F6KG4WscVE,10:22 AM - 18 Dec 2015
@ClaireHouse,Wirral / Merseyside / Cheshire,Lots of people are finishing today for the #christmasbreak. But it's still busy here @ClaireHouse! #hospicecarepic.twitter.com/GFkFkbRah8,8:23 AM - 18 Dec 2015
@mrjasonbarrera,"McAllen, TX",Just a little #holidayspirit for the beginning of #christmasbreak! Merry Christmas to all! #glitterbeardpic.twitter.com/3T5GsNvVTF,8:22 AM - 18 Dec 2015
@Gwd50Schools,"Greenwood, SC",Last day before the Winter Break! RT if you're excited! #awesome #christmasbreak #winterbreakready #winterbreakpic.twitter.com/kbgViB9kzU,7:17 AM - 18 Dec 2015
@ChadChoateEJ,"Bradenton, Florida",Ugly Sweater day! @MattKissell23 thanks for letting me borrow this ugly sweater. #ChristmasBreakpic.twitter.com/aMZfVUOXa6,4:36 AM - 18 Dec 2015
@YLMSportScience,"Nice, France","#ChristmasBreak
 Reduce training volume drastically
 Maintain high-intensity bursts
http://ylmsportscience.blogspot.com/2015/06/high-intensity-interval-training-every.html …pic.twitter.com/JJlvdFfMTm",11:30 PM - 17 Dec 2015
@A_Hudge,"Los Angeles, CA",Creepin up on #ChristmasBreak likepic.twitter.com/rI23awb8sf,7:12 PM - 17 Dec 2015
@dannib08,,I can't wait for 2:20 tomorrow #christmasbreak ,6:01 PM - 17 Dec 2015
@jaden_gravatt,byui,There is a life about to start when tomorrow comes #christmasbreakpic.twitter.com/uvodBkTzbe,5:18 PM - 17 Dec 2015
@Jordybaby29,The Dirty Burg,"No more school, no more stress #ChristmasBreak",3:17 PM - 17 Dec 2015
@Kymarchingband,Kentucky,When you realize that next week is Christmas! #Christmas #christmasbreakpic.twitter.com/eewHD7cGyD,11:07 AM - 17 Dec 2015
@KamAlise,"Denham Springs, LA",my bestie got her class ring today!!!! whoop whoop!!! #christmasbreak #juniors #2017pic.twitter.com/pbg2hhpEhJ,8:59 AM - 17 Dec 2015
@richardminiet,,When you skip breakfast and go straight to lunch cause you wake up at 11 #christmasbreak #norules #ScrewDjKhaledAndHisBreakfast,8:08 AM - 17 Dec 2015
@Scott_Shuford,"Greenville, SC",Don't mess with this guy...!  Merry Christmas!  #ChristmasBreak!!! @PaladinFootball @FurmanU @FurmanEquippic.twitter.com/H2gDM2A19F,5:36 AM - 17 Dec 2015
@paigearooney,Ft. Worth to College Station,"Now I can do all the things I did this semester (stay up late, watch Netflix, and sleep until 2pm) guilt free!!!! #ChristmasBreak",7:23 PM - 16 Dec 2015
@_kianamarina_,"Colorado, USA",SLEEP. EAT. NETFLIX. REPEAT. #christmasbreak,5:21 PM - 16 Dec 2015
@Kymarchingband,Kentucky,Running towards Christmas break like! #christmasbreakpic.twitter.com/EkiBdnVt83,11:03 AM - 16 Dec 2015
@Baileigh_Massey,"Bells,TX",Could this day be any slower  #ChristmasBreak,8:14 AM - 16 Dec 2015
@sheneenH,Newfoundland,Is it Friday yet? Cause I was ready to get drunk yesterday... #ChristmasBreak #humpday,5:57 AM - 16 Dec 2015
@coachgober,"ÜT: 33.793699,-84.402023",3. Days. #ChristmasBreak,5:45 AM - 16 Dec 2015
@BDBradshaw28,,Going to sleep with no alarm set is a great feeling for a nursing student. #ChristmasBreak #IShouldBeReadingForNextSemester @BSNstudents ,9:48 PM - 15 Dec 2015
@claudschlosser,,can it just be Friday already plsssss!? #christmasbreak,7:22 PM - 15 Dec 2015
@_intomygaLEXY,Purdue,I wish it was Tuesday...of next week... #christmasbreak ,6:09 PM - 15 Dec 2015
@TorrieLopez3,,"It's almost 6pm and I'm just realizing I'm not wearing a bra.

Yes, I did go out to eat today.
#ChristmasBreak",4:42 PM - 15 Dec 2015
@kylevan12,"Billings Bridge, ON",Gonna feel naked not wearing a backpack everywhere i go #Christmasbreak,12:09 PM - 15 Dec 2015
@Ktishan11,,How every college student feels when they get home for Christmas break  #Christmasbreakpic.twitter.com/tnDp0tueMN,11:33 AM - 15 Dec 2015
@Sadie_Stratford,"Northumberland, Ontario","Dear teachers, we all stopped listening like 2 weeks ago lol #ChristmasBreak",9:50 AM - 15 Dec 2015
@EvansMaison,,Praying that God can get my through one more day #Christmasbreak,7:15 PM - 14 Dec 2015
@Cec_Monture97,6ix Nations,This week better go by fast #ChristmasBreak,6:11 PM - 14 Dec 2015
@ACookseyMusic,FREE MUSIC- ⏩,Just took an hour nap One more class to study for!!!! #sohappy #christmasbreak #onemoreexam,9:44 AM - 14 Dec 2015
@baselaljohani,"Denver, CO",4 more days  #ChristmasBreak,6:36 AM - 14 Dec 2015
@YLMSportScience,"Nice, France","#ChristmasBreak More exercise is needed to  VO2max, than that required to maintain it at the trained level pic.twitter.com/XeyHUw1Z3q",11:11 AM - 13 Dec 2015
@luigiluna_13,,Was checking my planner if I needed anything for school...till I realized I have no more classes  #ThankGod #ChristmasBreak,2:25 AM - 13 Dec 2015
@ENEschbach,,"The positives of boredom:
 Nails are always painted 
 Legs are always shaven 
Makeup always on fleek 
        #Christmasbreak",7:10 PM - 12 Dec 2015
@JanessaLewis11,,I need a movie night with friends and we can make these again. Who's in? #christmasbreakpic.twitter.com/wDnwa57BxE,1:43 PM - 12 Dec 2015
@desiriedawn,Texas,Let #ChristmasBreak begin!!! @fullerseminary @fuller_sispic.twitter.com/LbtDd7gfRc,1:21 PM - 11 Dec 2015
@heiNIKAn_,,Was about to complain about schoolwork but then I realized I don't have any. HAHAHAHHAHAHAHA #christmasbreak #WINNING,6:43 AM - 7 Dec 2015
@IEbusiness,"Madrid, Spain",MT @IELibrary: Extended loan period during Christmas! #IELibrary #Christmasbreak @IEbusiness @IEuniversity https://twitter.com/IELibrary/status/672863725729239040/photo/1pic.twitter.com/iQFJjOi4AL ,2:45 AM - 7 Dec 2015
@ToryWinters96,"Nashville, TN",Next week is the best and worst things in life #finalsweek #christmasbreak,9:16 AM - 5 Dec 2015
@OCeaglesSB,"Oklahoma City, OK",When your last 6am of the semester= Cracker Barrel  Missed you @KirstenDeAnn_18! #OCsoftball #ChristmasBreakpic.twitter.com/j2uTl7F8ci,8:52 AM - 4 Dec 2015
@ChargersSGA,snapchat and ig: thecrestsga,"one week down, two to go #christmasbreak",6:10 AM - 4 Dec 2015
@clairedechet,"Sarnia, Ontario",2 more weeks everyone #christmasbreak ,5:23 AM - 4 Dec 2015
@stephcannon18,,I want to go home now #christmasbreak #comefaster,9:06 AM - 3 Dec 2015
@BrendanBaker_,Springy MO  🍻 🔥,"9 days and 5 tests stand between me and freedom for a month, you can do it! #ChristmasBreak ",6:20 AM - 1 Dec 2015
@UhhMilliUh,"Greendale, WI",2 weeks and 3 days. That's it guys. Then they set us free. #christmasbreak,4:07 AM - 1 Dec 2015
@burtnylynnn,"Lincoln, NE",Dear Lord please let these next 3 weeks go by fast  #Christmasbreak,9:14 AM - 30 Nov 2015
@kallieeshaee8_,Tx,We only have to 'school' for three more weeks yal #wecandoit #christmasbreak ,9:22 PM - 29 Nov 2015
@BayEldridge,"Anchors in TX, FL, & Canada  ⚓️",Two weeks left. We can do this.   #deadweek #finalsweek #christmasbreakpic.twitter.com/RacfSy4iWM,8:59 PM - 29 Nov 2015
@DerekAshman,,Need to find 3 weeks worth of motivation #Finals #ChristmasBreak,8:15 PM - 29 Nov 2015
@kenadee88,,Hoping these few weeks go by fast! #christmasbreak,5:14 PM - 29 Nov 2015
@BodaciousSteve,,"Well hot water pressure and extremely nice wifi it's been fun...until next time
#ChristmasBreak",11:04 AM - 29 Nov 2015
@WindchimesH,"Torquay, South Devon",Fab coast walk from Windchimes today @hiking_rr @WalksBritain @VisitDevon #Christmasbreakpic.twitter.com/wcaatkZWzX,7:32 AM - 15 Nov 2015
@OnlyAtYSU,Youngstown State University,Less than one month and we are done #christmasbreak,6:09 AM - 12 Nov 2015
@GOPTeens,U.S.A.,"#NoOffense, but it's #ChristmasBreak not #WinterBreak. Should non-#christian students still get vacation? #WarOnChristmas ",4:55 AM - 11 Nov 2015
@MadiWallace1,,I really miss all of my high school friends and my long lost best friends #thanksgivingbreak #christmasbreak,9:20 PM - 3 Nov 2015
@Bunchy475,,At the point in the semester where I welcome mediocrity with open arms #christmasbreak #whereru,9:59 AM - 26 Oct 2015
